Sold Price,Status,Address,List Date,Sold Date,DOM,Location,Total number of bedrooms,Total number of Baths,TotFl ,The year in which it was build,Age,FrontageFt,Depth,Total number of Kitchens,TypeDwel ,Style of Home
"$525,000",S,7836 CANADA WAY,12/17/2013,1/14/2014,28,Burnaby East,3,1,"1,200",9999,999,51,125,1,House/Single Family,2 Storey w/Bsmt.
"$525,000",S,8881 ERIN AVENUE,10/18/2010,11-09-2010,22,Burnaby East,4,2,"1,951",1958,52,45.1,98.98,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$525,000",S,7945 14TH AVENUE,5/17/2010,07-05-2010,49,Burnaby East,3,1,"2,096",1945,65,50,120,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$525,000",S,7964 14TH AVENUE,4/21/2010,5/22/2010,31,Burnaby East,3,2,"2,423",9999,999,50,120,1,House/Single Family,1 Storey
"$528,000",S,5026 SMITH AVENUE,8/23/2011,8/26/2011,3,Burnaby South,4,1,"1,100",1910,101,33,132,1,House/Single Family,2 Storey
"$529,000",S,7546 ELWELL STREET,7/23/2010,7/30/2010,7,Burnaby South,3,1,"1,350",1951,59,66,94,1,House/Single Family,1 Storey
"$529,000",S,8044 16TH AVENUE,4/17/2010,4/18/2010,1,Burnaby East,2,1,"1,600",1947,63,47,138,1,House/Single Family,2 Storey
"$530,000",S,7657 DAVIES STREET,04-07-2011,05-04-2011,27,Burnaby East,3,1,"1,838",1957,54,33,103,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$530,000",S,7740 GRAHAM AVENUE,5/21/2010,5/29/2010,8,Burnaby East,3,2,"1,818",1948,62,55,110,1,House/Single Family,2 Storey
"$530,000",S,8537 KARRMAN AVENUE,9/23/2010,10-05-2010,12,Burnaby East,2,1,"1,399",9999,999,57,113,1,House/Single Family,3 Level Split
"$530,000",S,4668 GARDEN GROVE DRIVE,08-07-2012,8/20/2012,13,Burnaby South,3,4,"1,765",1973,39,33,90,1,House/Single Family,2 Storey w/Bsmt.
"$530,000",S,8085 10TH AVENUE,11/20/2013,12/13/2013,23,Burnaby East,3,2,"1,732",1974,39,51,136,1,House/Single Family,Rancher/Bungalow
"$531,000",S,4833 GREENTREE PLACE,4/14/2010,5/14/2010,30,Burnaby South,4,3,"1,650",1974,36,33,89,1,House/Single Family,2 Storey w/Bsmt.
"$531,000",S,4552 GARDEN GROVE DRIVE,10/29/2012,05-02-2013,185,Burnaby South,3,2,"1,567",1975,37,31,90,1,House/Single Family,2 Storey w/Bsmt.
"$534,000",S,6159 CANADA WAY,2/23/2010,04-08-2010,44,Burnaby South,4,1,"1,614",9999,999,54,187,1,House/Single Family,2 Storey w/Bsmt.
"$535,000",S,8175 10TH AVENUE,2/15/2014,3/16/2014,29,Burnaby East,3,2,"2,200",9999,999,50,136,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$535,000",S,7429 CANADA WAY,03-09-2010,06-01-2010,84,Burnaby East,5,2,"1,720",1954,56,50,110,2,House/Single Family,"2 Storey, Basement Entry"
"$535,000",S,8325 GILLEY AVENUE,8/31/2009,01-04-2010,126,Burnaby South,2,1,"1,000",1948,61,69,137.65,1,House/Single Family,Rancher/Bungalow
"$537,383",S,5975 WOODSWORTH STREET,10/14/2013,11/25/2013,42,Burnaby North,4,3,"1,206",2013,0,33,122,2,House/Single Family,2 Storey
"$538,000",S,7797 10TH AVENUE,07-07-2014,08-06-2014,30,Burnaby East,2,1,900,9999,999,50,141,1,House/Single Family,2 Storey
"$538,000",S,7852 14TH AVENUE,02-04-2010,02-11-2010,7,Burnaby East,2,1,"1,200",1928,82,50,120,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$538,000",S,7771 CANADA WAY,11-10-2010,01-06-2011,57,Burnaby East,5,2,"2,200",1951,59,55,110,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$539,000",S,7969 PATTERSON AVENUE,1/21/2010,1/28/2010,7,Burnaby South,3,2,"2,120",1955,55,60,120,1,House/Single Family,2 Storey
"$539,900",S,4125 PENDER STREET,2/15/2010,03-03-2010,16,Burnaby North,2,1,"1,800",9999,999,33,122,1,House/Single Family,2 Storey
"$540,000",S,7943 18TH AVENUE,12/28/2010,12/29/2010,1,Burnaby East,3,2,"1,750",1948,62,51.5,119.48,2,House/Single Family,2 Storey
"$540,000",S,4172 PENDER STREET,08-09-2010,9/29/2010,51,Burnaby North,3,1,"1,780",9999,999,33,122,1,House/Single Family,2 Storey w/Bsmt.
"$540,000",S,8542 KARRMAN AVENUE,2/18/2010,2/27/2010,9,Burnaby East,2,1,"1,352",1954,56,57,106,1,House/Single Family,3 Level Split
"$540,000",S,4710 GARDEN GROVE DRIVE,3/17/2010,3/22/2010,5,Burnaby South,3,3,"1,848",1973,37,33,90,1,House/Single Family,2 Storey w/Bsmt.
"$540,000",S,7755 10TH AVENUE,07-05-2013,2/22/2014,232,Burnaby East,2,1,"1,760",9999,999,50,141,1,House/Single Family,Rancher/Bungalow
"$540,000",S,5925 MARINE DRIVE,6/21/2010,6/29/2010,8,Burnaby South,5,2,"2,205",1963,47,42,138,2,House/Single Family,2 Storey
"$540,000",S,4548 GARDEN GROVE DRIVE,03-05-2013,03-11-2013,6,Burnaby South,4,4,"1,979",1975,38,0,,1,House/Single Family,2 Storey w/Bsmt.
"$540,000",S,7729 17TH AVENUE,3/24/2010,05-03-2010,40,Burnaby East,3,2,"2,467",1920,90,50,120,2,House/Single Family,2 Storey w/Bsmt.
"$542,500",S,7492 4TH STREET,6/23/2010,09-03-2010,72,Burnaby East,3,3,"1,972",1955,55,34,91,1,House/Single Family,2 Storey
"$542,500",S,4955 THORNWOOD PLACE,07-11-2011,7/25/2011,14,Burnaby South,3,3,"1,670",1974,37,31,96,1,House/Single Family,2 Storey w/Bsmt.
"$545,000",S,8543 ROYAL OAK AVENUE,09-09-2013,12/20/2013,102,Burnaby South,3,1,"1,403",1953,60,50,119,1,House/Single Family,Rancher/Bungalow
"$545,000",S,7484 4TH STREET,1/17/2012,1/22/2012,5,Burnaby East,2,1,708,9999,999,42,90,1,House/Single Family,1 Storey
"$545,000",S,4220 BOUNDARY ROAD,3/25/2013,6/26/2013,93,Burnaby South,2,1,720,9999,999,33,120,1,House/Single Family,Rancher/Bungalow
"$546,000",S,8020 17TH AVENUE,02-09-2010,05-04-2010,84,Burnaby East,4,2,"1,900",1968,42,33,137,2,House/Single Family,2 Storey
"$546,000",S,7484 18TH AVENUE,8/15/2010,03-05-2011,202,Burnaby East,5,2,"1,550",1922,88,44,103,1,House/Single Family,2 Storey w/Bsmt.
"$546,500",S,6508 RUMBLE STREET,10/13/2010,11-12-2010,30,Burnaby South,3,1,"1,049",1952,58,50,120,1,House/Single Family,Rancher/Bungalow
"$549,000",S,7525 IMPERIAL STREET,04-06-2010,4/13/2010,7,Burnaby South,4,2,"2,000",1957,53,49,135,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$549,900",S,7763 10TH AVENUE,2/17/2012,2/28/2012,11,Burnaby East,3,1,"2,200",9999,999,50,141,1,House/Single Family,2 Storey w/Bsmt.
"$550,000",S,7981 16TH AVENUE,03-07-2010,3/30/2010,23,Burnaby East,4,1,"2,198",1954,56,53,111,1,House/Single Family,2 Storey
"$550,000",S,7737 ELFORD STREET,09-10-2010,9/23/2010,13,Burnaby East,4,2,"1,152",1952,58,50,121,1,House/Single Family,2 Storey
"$550,000",S,8276 14TH AVENUE,1/20/2010,02-04-2010,15,Burnaby East,3,1,"1,405",1954,56,0,,1,House/Single Family,1 Storey
"$550,000",S,8036 11TH AVENUE,6/18/2010,7/22/2010,34,Burnaby East,3,2,"1,940",9999,999,51,146,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$550,000",S,5486 MARINE DRIVE,10-06-2009,5/28/2010,234,Burnaby South,4,2,"2,332",9999,999,90,200,1,House/Single Family,2 Storey w/Bsmt.
"$550,000",S,7756 CANADA WAY,5/17/2011,5/21/2011,4,Burnaby East,5,2,"2,000",9999,999,56,138,2,House/Single Family,"2 Storey, Rancher/Bungalow w/Bsmt."
"$550,000",S,5450 WILTON AVENUE,12/17/2013,12/19/2013,2,Burnaby South,3,2,"3,600",1950,63,66,122,1,House/Single Family,2 Storey w/Bsmt.
"$551,000",S,5329 MANOR STREET,1/27/2012,2/16/2012,20,Burnaby North,1,1,700,1925,87,34,133,1,House/Single Family,1 Storey
"$551,490",S,6790 SPERLING AVENUE,10/20/2010,10/23/2010,3,Burnaby South,0,1,0,1947,63,66,104,0,House/Single Family,Split Entry
"$552,000",S,4326 ALBERT STREET,6/16/2010,09-10-2010,86,Burnaby North,3,1,"1,400",1946,64,33,122,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$552,500",S,6445 MARINE DRIVE,01-05-2010,1/20/2010,15,Burnaby South,2,1,900,1930,80,67,118,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$555,000",S,4312 ALBERT STREET,8/30/2010,10/26/2010,57,Burnaby North,4,2,"1,300",9999,999,33,122,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$555,000",S,3730 BOUNDARY ROAD,05-04-2010,05-12-2010,8,Burnaby South,4,2,"2,316",1950,60,43,120,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$555,000",S,7365 IMPERIAL STREET,06-07-2010,06-09-2010,2,Burnaby South,4,2,"2,130",1954,56,50,135,2,House/Single Family,2 Storey
"$557,000",S,4880 HICKORY COURT,03-07-2012,04-04-2012,28,Burnaby South,3,3,"1,860",1975,37,0,,1,House/Single Family,2 Storey w/Bsmt.
"$557,500",S,8084 12TH AVENUE,2/23/2010,2/24/2010,1,Burnaby East,4,2,"2,076",9999,999,50,146,2,House/Single Family,2 Storey w/Bsmt.
"$558,000",S,5357 CARSON STREET,7/29/2010,11/30/2010,124,Burnaby South,3,2,"1,918",1955,55,37,121',2,House/Single Family,Basement Entry
"$558,000",S,3866 GARDEN GROVE DRIVE,08-07-2013,8/13/2013,6,Burnaby South,3,3,"1,809",1975,38,33,93,1,House/Single Family,2 Storey w/Bsmt.
"$559,000",S,8012 11TH AVENUE,12-02-2009,5/22/2010,171,Burnaby East,3,2,"1,900",1951,58,51,146,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$560,000",S,7994 ELWELL STREET,12-08-2010,12/13/2010,5,Burnaby South,3,2,"1,308",9999,999,50,120,2,House/Single Family,2 Storey
"$560,000",S,8264 12TH AVENUE,12/28/2010,01-06-2011,9,Burnaby East,3,2,"1,790",1958,52,33,141,2,House/Single Family,2 Storey
"$560,000",S,8143 11TH AVENUE,3/28/2010,04-07-2010,10,Burnaby East,3,2,"1,288",9999,999,50,146,1,House/Single Family,1 1/2 Storey
"$560,000",S,7745 18TH AVENUE,05-05-2010,9/23/2010,141,Burnaby East,5,2,"2,350",9999,999,50,120,2,House/Single Family,2 Storey w/Bsmt.
"$560,000",S,5881 DUNDAS STREET,1/18/2010,1/21/2010,3,Burnaby North,1,1,"1,800",9999,999,32.89,121.5,1,House/Single Family,2 Storey
"$560,000",S,7691 CANADA WAY,3/21/2014,04-06-2014,16,Burnaby East,3,2,"1,806",1968,46,33,,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$561,000",S,6764 HERSHAM AVENUE,05-06-2010,5/13/2010,7,Burnaby South,4,2,"1,600",1963,47,33,159,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$563,000",S,7739 11TH AVENUE,6/24/2010,8/14/2010,51,Burnaby East,3,3,"2,350",1947,63,50,154,1,House/Single Family,2 Storey
"$563,000",S,5621 CAPITOL DRIVE,02-04-2011,4/24/2011,79,Burnaby North,2,2,"1,000",9999,999,56,76,1,House/Single Family,Rancher/Bungalow
"$564,000",S,7543 CANADA WAY,2/16/2011,3/26/2011,38,Burnaby East,4,2,"2,309",1957,54,56,147,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$565,000",S,125 SEA AVENUE,4/27/2010,5/24/2010,27,Burnaby North,2,2,"1,764",9999,999,33,124,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$565,000",S,7425 2ND STREET,11-02-2012,11-11-2012,9,Burnaby East,2,1,"2,000",9999,999,50,100,1,House/Single Family,2 Storey
"$565,000",S,5665 LAUREL STREET,03-09-2010,3/22/2010,13,Burnaby North,3,2,"2,162",1959,51,57,111,1,House/Single Family,2 Storey
"$565,000",S,3820 BOUNDARY ROAD,4/15/2010,05-03-2010,18,Burnaby South,4,2,"1,700",9999,999,43,120,2,House/Single Family,Basement Entry
"$565,000",S,7628 14TH AVENUE,2/14/2010,03-08-2010,22,Burnaby East,4,2,"2,094",1965,45,34,137,2,House/Single Family,2 Storey
"$566,000",S,4715 ALBERT STREET,11/17/2010,11/21/2010,4,Burnaby North,2,1,940,9999,999,33,122,1,House/Single Family,Rancher/Bungalow
"$567,500",S,8370 13TH AVENUE,3/26/2010,7/20/2010,116,Burnaby East,3,1,"2,260",1953,57,50,164,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$568,500",S,6240 MARINE DRIVE,1/24/2011,02-10-2011,17,Burnaby South,3,2,"1,804",1951,60,70,97,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$569,000",S,6643 IMPERIAL STREET,7/14/2010,11/26/2010,135,Burnaby South,4,2,"1,720",1944,66,69,94,1,House/Single Family,2 Storey w/Bsmt.
"$570,000",S,4958 FULWELL STREET,4/26/2010,07-02-2010,67,Burnaby South,4,2,"1,696",1955,55,57,105,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$570,000",S,6691 FULTON AVENUE,11/19/2009,01-07-2010,49,Burnaby South,4,2,"1,920",1954,55,50,111,2,House/Single Family,Basement Entry
"$570,000",S,4153 DUNDAS STREET,6/22/2010,10/30/2010,130,Burnaby North,3,2,"1,480",1929,81,33,122,1,House/Single Family,2 Storey
"$570,000",S,7731 CANADA WAY,11-04-2011,11/15/2011,11,Burnaby East,6,3,"2,266",1986,25,33,110,2,House/Single Family,2 Storey
"$570,000",S,154 SEA AVENUE,10-06-2010,10/15/2010,9,Burnaby North,4,2,"1,650",9999,999,33,122,2,House/Single Family,"2 Storey, Basement Entry"
"$570,000",S,3704 FRANCES STREET,1/19/2011,2/26/2011,38,Burnaby North,2,1,900,1950,61,50,122,1,House/Single Family,1 Storey
"$570,000",S,4715 ALBERT STREET,02-08-2010,04-11-2010,62,Burnaby North,2,1,940,9999,999,33,122,1,House/Single Family,Rancher/Bungalow
"$570,000",S,7564 DAVIES STREET,6/24/2010,6/25/2010,1,Burnaby East,2,1,"1,351",1949,61,49,140,1,House/Single Family,Rancher/Bungalow
"$570,000",S,5592 PATRICK STREET,07-05-2010,11/28/2010,146,Burnaby South,3,2,"2,120",1954,56,55,,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$571,000",S,5355 CLINTON STREET,04-04-2010,04-09-2010,5,Burnaby South,2,1,774,9999,999,32,124,1,House/Single Family,1 Storey
"$572,800",S,6425 LOUGHEED HIGHWAY,08-01-2011,9/27/2011,57,Burnaby North,2,1,"1,355",1963,48,50,142,1,House/Single Family,Rancher/Bungalow
"$573,000",S,4416 ROYAL OAK AVENUE,09-09-2010,9/17/2010,8,Burnaby South,4,2,"1,855",9999,999,63,104,2,House/Single Family,2 Storey
"$574,000",S,3670 DOUGLAS ROAD,5/27/2013,6/27/2013,31,Burnaby North,4,2,"1,360",1958,55,75,,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$575,000",S,7949 11TH AVENUE,8/31/2010,11-07-2010,68,Burnaby East,4,2,"1,740",9999,999,50,143,1,House/Single Family,2 Storey
"$575,000",S,6343 LOUGHEED HIGHWAY,11-11-2009,3/24/2010,133,Burnaby North,5,2,"2,800",1952,57,55,114,2,House/Single Family,2 Storey
"$575,000",S,3630 BOUNDARY ROAD,11-12-2010,01-06-2011,55,Burnaby South,4,2,"1,800",1952,58,43,120,2,House/Single Family,2 Storey
"$577,500",S,8263 17TH AVENUE,07-07-2010,8/21/2010,45,Burnaby East,3,2,"2,300",1955,55,50,,1,House/Single Family,2 Storey
"$578,000",S,4519 NAPIER STREET,6/15/2010,8/28/2010,74,Burnaby North,3,2,"2,038",1953,57,,,1,House/Single Family,Split Entry
"$579,000",S,7296 18TH AVENUE,8/22/2011,09-01-2011,10,Burnaby East,3,2,"1,612",1951,60,59,78,1,House/Single Family,2 Storey
"$580,000",S,7257 RANDOLPH AVENUE,11-06-2013,11/24/2013,18,Burnaby South,4,2,"1,700",9999,999,58,109,2,House/Single Family,2 Storey
"$580,000",S,3996 RUMBLE STREET,11/15/2010,11/15/2010,0,Burnaby South,2,1,"1,800",9999,999,50,132,1,House/Single Family,Rancher/Bungalow
"$580,000",S,7280 INLET DRIVE,09-12-2014,10/16/2014,34,Burnaby North,6,3,"2,080",1950,64,61,120,2,House/Single Family,2 Storey
"$580,000",S,12 HOLDOM AVENUE,03-09-2010,3/20/2010,11,Burnaby North,3,2,"1,500",9999,999,33,122,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$580,000",S,8425 10TH AVENUE,04-06-2010,04-09-2010,3,Burnaby East,4,2,"2,160",1955,55,51,,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$580,000",S,7561 IMPERIAL STREET,3/15/2010,3/20/2010,5,Burnaby South,7,2,"2,400",1969,41,49,135,2,House/Single Family,"Basement Entry, Rancher/Bungalow w/Bsmt."
"$583,000",S,7922 18TH AVENUE,11/21/2009,2/28/2010,99,Burnaby East,4,2,"2,400",1948,61,51,111,2,House/Single Family,2 Storey w/Bsmt.
"$583,000",S,3726 GARDEN GROVE DRIVE,2/19/2013,2/23/2013,4,Burnaby South,3,3,"1,864",1975,38,530,90,1,House/Single Family,3 Storey
"$583,000",S,3767 GARDEN GROVE DRIVE,8/19/2013,8/27/2013,8,Burnaby South,3,3,"1,807",1980,33,33,90,1,House/Single Family,2 Storey w/Bsmt.
"$583,000",S,7307 12TH AVENUE,3/28/2013,5/16/2013,49,Burnaby East,6,2,"2,028",9999,999,40,157,2,House/Single Family,2 Storey
"$583,800",S,6655 LINDEN AVENUE,08-07-2010,11-07-2010,92,Burnaby South,3,2,"1,245",1954,56,50,122,1,House/Single Family,1 Storey
"$583,900",S,8659 10TH AVENUE,02-01-2011,03-01-2011,28,Burnaby East,4,2,"2,079",1955,56,50,139,1,House/Single Family,2 Storey
"$585,000",S,5026 SMITH AVENUE,5/30/2012,12-02-2012,186,Burnaby South,4,1,"1,100",9999,999,33,132,1,House/Single Family,2 Storey
"$585,000",S,7380 1ST STREET,03-07-2011,3/24/2011,17,Burnaby East,5,3,"2,699",1979,32,33,115,2,House/Single Family,2 Storey
"$585,000",S,4055 RUMBLE STREET,6/28/2010,08-04-2010,37,Burnaby South,3,3,"1,804",1950,60,50,118,2,House/Single Family,2 Storey
